#Identifier,Cytoplasmic effector,Apoplastic effector,Non-effector,Prediction
FOXG_22600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=131,-,Y (0.608),-,Apoplastic effector
FOXG_05710 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=210,Y (0.946),-,-,Cytoplasmic effector
FOXG_10408 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=239,-,-,Y (0.863),Non-effector
FOXG_09686 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=603,-,-,Y (0.934),Non-effector
FOXG_08882 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1337,-,-,Y (0.994),Non-effector
FOXG_08601 | Fusarium oxysporum f. sp. lycopersici 4287 | murein transglycosylase | protein | length=497,-,-,Y (0.641),Non-effector
FOXG_00028 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=319,Y (0.796),-,-,Cytoplasmic effector
FOXG_05815 | Fusarium oxysporum f. sp. lycopersici 4287 | L-amino-acid oxidase | protein | length=594,-,-,Y (0.89),Non-effector
FOXG_13374 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=579,-,-,Y (0.733),Non-effector
FOXG_08824 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=364,-,-,Y (0.645),Non-effector
FOXG_11987 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=446,-,-,Y (0.876),Non-effector
FOXG_06218 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=572,-,-,Y (0.897),Non-effector
FOXG_08403 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=640,-,-,Y (0.928),Non-effector
FOXG_06344 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=571,-,-,Y (0.922),Non-effector
FOXG_16496 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=344,Y (0.638),-,-,Cytoplasmic effector
FOXG_11538 | Fusarium oxysporum f. sp. lycopersici 4287 | carboxypeptidase D | protein | length=480,-,-,Y (0.819),Non-effector
FOXG_02347 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=313,-,-,Y (0.73),Non-effector
FOXG_09209 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=296,-,-,Y (0.949),Non-effector
FOXG_11277 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=190,-,-,Y (0.525),Non-effector
FOXG_14800 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=498,-,-,Y (0.89),Non-effector
FOXG_06409 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=539,-,-,Y (0.825),Non-effector
"FOXG_15415 | Fusarium oxysporum f. sp. lycopersici 4287 | galacturan 1,4-alpha-galacturonidase | protein | length=464",-,-,Y (0.587),Non-effector
FOXG_10381 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=114,-,Y (0.824),-,Apoplastic effector
FOXG_08646 | Fusarium oxysporum f. sp. lycopersici 4287 | acetylornithine deacetylase | protein | length=416,-,-,Y (0.755),Non-effector
FOXG_18919 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=473,Y (0.631),-,-,Cytoplasmic effector
FOXG_14627 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=503,-,-,Y (0.778),Non-effector
FOXG_04558 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=608,-,-,Y (0.947),Non-effector
FOXG_02509 | Fusarium oxysporum f. sp. lycopersici 4287 | murein transglycosylase | protein | length=488,-,-,Y (0.609),Non-effector
FOXG_06477 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=469,-,-,Y (0.885),Non-effector
FOXG_13188 | Fusarium oxysporum f. sp. lycopersici 4287 | xyloglucanase | protein | length=733,-,-,Y (0.869),Non-effector
FOXG_10034 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=417,-,-,Y (0.569),Non-effector
FOXG_12659 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=96,Y (0.912),-,-,Cytoplasmic effector
FOXG_08502 | Fusarium oxysporum f. sp. lycopersici 4287 | murein transglycosylase | protein | length=496,Y (0.606),Y (0.591),-,Cytoplasmic/apoplastic effector
FOXG_02490 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=124,-,Y (0.985),-,Apoplastic effector
FOXG_17328 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=209,-,Y (0.924),-,Apoplastic effector
FOXG_05010 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=414,Y (0.624),-,-,Cytoplasmic effector
FOXG_11770 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=414,Y (0.687),-,-,Cytoplasmic effector
FOXG_07634 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=393,-,-,Y (0.717),Non-effector
FOXG_16359 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=273,-,-,Y (0.921),Non-effector
FOXG_03755 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=221,-,Y (0.623),-,Apoplastic effector
FOXG_17011 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=395,-,-,Y (0.723),Non-effector
FOXG_15794 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=131,-,Y (0.896),-,Apoplastic effector
FOXG_12155 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=262,-,-,Y (0.686),Non-effector
FOXG_11756 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=535,-,-,Y (0.682),Non-effector
FOXG_11923 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=503,-,-,Y (0.826),Non-effector
FOXG_05970 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=448,-,-,Y (0.692),Non-effector
FOXG_08399 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=301,-,-,Y (0.95),Non-effector
"FOXG_09638 | Fusarium oxysporum f. sp. lycopersici 4287 | endo-1,4-beta-xylanase B | protein | length=232",-,Y (0.932),-,Apoplastic effector
FOXG_09801 | Fusarium oxysporum f. sp. lycopersici 4287 | alkaline proteinase | protein | length=414,-,-,Y (0.596),Non-effector
FOXG_16426 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=455,-,-,Y (0.771),Non-effector
FOXG_12218 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=466,Y (0.611),-,-,Cytoplasmic effector
FOXG_16854 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=423,-,-,Y (0.74),Non-effector
FOXG_12265 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=335,Y (0.732),-,-,Cytoplasmic effector
FOXG_10692 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=404,Y (0.667),-,-,Cytoplasmic effector
FOXG_08084 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=575,-,-,Y (0.96),Non-effector
FOXG_19573 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1029,-,-,Y (0.826),Non-effector
FOXG_12173 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=185,-,Y (0.799),-,Apoplastic effector
FOXG_14599 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha-N-arabinofuranosidase | protein | length=348,Y (0.613),-,-,Cytoplasmic effector
FOXG_09049 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=119,Y (0.886),Y (0.543),-,Cytoplasmic/apoplastic effector
FOXG_11086 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=310,Y (0.637),-,-,Cytoplasmic effector
"FOXG_07678 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha 1,3-glucosidase | protein | length=963",-,-,Y (0.896),Non-effector
FOXG_00140 | Fusarium oxysporum f. sp. lycopersici 4287 | protein disulfide-isomerase | protein | length=506,Y (0.709),-,-,Cytoplasmic effector
FOXG_16021 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=645,-,Y (0.746),-,Apoplastic effector
FOXG_04884 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=397,-,-,Y (0.794),Non-effector
FOXG_13447 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=430,-,-,Y (0.905),Non-effector
FOXG_14684 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=168,Y (0.78),Y (0.61),-,Cytoplasmic/apoplastic effector
FOXG_05870 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=393,-,-,Y (0.553),Non-effector
FOXG_16920 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha-amylase | protein | length=336,-,Y (0.55),-,Apoplastic effector
FOXG_14505 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=354,-,-,Y (0.552),Non-effector
FOXG_09553 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=178,-,-,Y (0.587),Non-effector
FOXG_04812 | Fusarium oxysporum f. sp. lycopersici 4287 | alpha-glucuronidase | protein | length=840,-,-,Y (0.987),Non-effector
FOXG_03707 | Fusarium oxysporum f. sp. lycopersici 4287 | ubiquitin carboxyl-terminal hydrolase 22/27/51 | protein | length=394,Y (0.712),-,-,Cytoplasmic effector
FOXG_07208 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=185,Y (0.64),-,-,Cytoplasmic effector
FOXG_03299 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=304,Y (0.512),-,-,Cytoplasmic effector
FOXG_10045 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=127,-,-,Y (0.593),Non-effector
FOXG_12908 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=203,Y (0.695),-,-,Cytoplasmic effector
FOXG_04574 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=482,-,-,Y (0.866),Non-effector
FOXG_12102 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=536,-,-,Y (0.857),Non-effector
FOXG_16390 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=114,Y (0.734),Y (0.774),-,Apoplastic/cytoplasmic effector
FOXG_10790 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=245,-,-,Y (0.755),Non-effector
FOXG_01085 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=368,-,-,Y (0.697),Non-effector
FOXG_09791 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=502,-,-,Y (0.872),Non-effector
FOXG_03555 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=384,-,-,Y (0.776),Non-effector
FOXG_09590 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=534,-,-,Y (0.823),Non-effector
FOXG_07052 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=114,Y (0.734),Y (0.774),-,Apoplastic/cytoplasmic effector
FOXG_05728 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=454,-,-,Y (0.641),Non-effector
FOXG_03398 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=465,-,-,Y (0.786),Non-effector
FOXG_04584 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=325,-,-,Y (0.658),Non-effector
FOXG_00468 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=767,-,-,Y (0.984),Non-effector
"FOXG_17412 | Fusarium oxysporum f. sp. lycopersici 4287 | arabinogalactan endo-1,4-beta-galactosidase | protein | length=363",-,-,Y (0.906),Non-effector
FOXG_09774 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=609,-,-,Y (0.818),Non-effector
FOXG_17426 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=714,-,-,Y (0.966),Non-effector
FOXG_03550 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=480,-,-,Y (0.879),Non-effector
FOXG_10792 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=347,-,-,Y (0.648),Non-effector
FOXG_11400 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=284,-,-,Y (0.575),Non-effector
FOXG_09893 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=406,-,Y (0.603),-,Apoplastic effector
FOXG_14740 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=360,-,-,Y (0.63),Non-effector
FOXG_05945 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=347,-,Y (0.552),-,Apoplastic effector
FOXG_03308 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1413,-,-,Y (0.925),Non-effector
FOXG_13365 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=377,-,-,Y (0.58),Non-effector
FOXG_14993 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=197,-,Y (0.745),-,Apoplastic effector
FOXG_04698 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=166,Y (0.623),Y (0.865),-,Apoplastic/cytoplasmic effector
FOXG_02223 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=140,Y (0.513),Y (0.765),-,Apoplastic/cytoplasmic effector
FOXG_13415 | Fusarium oxysporum f. sp. lycopersici 4287 | endoglucanase type F | protein | length=384,-,-,Y (0.72),Non-effector
FOXG_19084 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=490,-,-,Y (0.945),Non-effector
FOXG_05948 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=328,-,-,Y (0.505),Non-effector
FOXG_16870 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=277,Y (0.691),-,-,Cytoplasmic effector
FOXG_07518 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=473,-,-,Y (0.778),Non-effector
FOXG_13305 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=670,-,-,Y (0.804),Non-effector
FOXG_13298 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=244,Y (0.829),-,-,Cytoplasmic effector
FOXG_10488 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=141,Y (0.893),-,-,Cytoplasmic effector
FOXG_01816 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=200,-,-,Y (0.632),Non-effector
FOXG_11456 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=316,-,Y (0.728),-,Apoplastic effector
FOXG_04988 | Fusarium oxysporum f. sp. lycopersici 4287 | inorganic pyrophosphatase | protein | length=330,Y (0.864),-,-,Cytoplasmic effector
FOXG_00480 | Fusarium oxysporum f. sp. lycopersici 4287 | exoglucanase type C | protein | length=514,-,Y (0.697),-,Apoplastic effector
FOXG_06133 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=129,-,Y (0.52),-,Apoplastic effector
FOXG_06912 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=244,-,Y (0.522),-,Apoplastic effector
FOXG_17835 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=416,Y (0.655),-,-,Cytoplasmic effector
FOXG_19972 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=248,-,-,Y (0.572),Non-effector
FOXG_18600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=296,-,Y (0.564),-,Apoplastic effector
FOXG_17227 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=958,-,-,Y (0.984),Non-effector
FOXG_11103 | Fusarium oxysporum f. sp. lycopersici 4287 | triacylglycerol lipase | protein | length=584,-,-,Y (0.927),Non-effector
FOXG_09600 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=169,Y (0.715),-,-,Cytoplasmic effector
FOXG_13152 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=315,-,-,Y (0.645),Non-effector
FOXG_14236 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=609,-,-,Y (0.855),Non-effector
FOXG_02676 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=404,-,-,Y (0.861),Non-effector
"FOXG_02167 | Fusarium oxysporum f. sp. lycopersici 4287 | lectin, mannose-binding 2 | protein | length=322",-,-,Y (0.584),Non-effector
FOXG_09952 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=205,Y (0.764),-,-,Cytoplasmic effector
FOXG_00959 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=427,-,-,Y (0.528),Non-effector
FOXG_02572 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=372,-,-,Y (0.639),Non-effector
FOXG_10087 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=444,-,-,Y (0.73),Non-effector
FOXG_06592 | Fusarium oxysporum f. sp. lycopersici 4287 | lysophospholipase | protein | length=634,-,-,Y (0.735),Non-effector
FOXG_15386 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=174,-,Y (0.64),-,Apoplastic effector
"FOXG_04113 | Fusarium oxysporum f. sp. lycopersici 4287 | phosphatidylinositol glycan, class T | protein | length=582",-,-,Y (0.986),Non-effector
FOXG_02791 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=247,-,-,Y (0.816),Non-effector
FOXG_11798 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=443,-,-,Y (0.801),Non-effector
FOXG_22872 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=119,Y (0.75),Y (0.896),-,Apoplastic/cytoplasmic effector
FOXG_06354 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=473,-,-,Y (0.927),Non-effector
FOXG_10358 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=231,-,-,Y (0.75),Non-effector
FOXG_13641 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=147,Y (0.631),Y (0.52),-,Cytoplasmic/apoplastic effector
FOXG_06038 | Fusarium oxysporum f. sp. lycopersici 4287 | pectate lyase C | protein | length=413,-,Y (0.534),-,Apoplastic effector
FOXG_14130 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=459,-,-,Y (0.777),Non-effector
FOXG_02506 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=487,-,-,Y (0.587),Non-effector
FOXG_16184 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=461,-,-,Y (0.978),Non-effector
FOXG_03739 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=327,-,-,Y (0.832),Non-effector
FOXG_12855 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=319,Y (0.541),Y (0.616),-,Apoplastic/cytoplasmic effector
FOXG_11740 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=306,Y (0.599),-,-,Cytoplasmic effector
FOXG_15474 | Fusarium oxysporum f. sp. lycopersici 4287 | glycerophosphoryl diester phosphodiesterase | protein | length=420,Y (0.654),-,-,Cytoplasmic effector
FOXG_17589 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=235,Y (0.75),Y (0.717),-,Cytoplasmic/apoplastic effector
FOXG_01621 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=836,-,-,Y (0.988),Non-effector
FOXG_12378 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=256,-,Y (0.601),-,Apoplastic effector
FOXG_08877 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1151,-,-,Y (0.988),Non-effector
FOXG_06785 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=567,-,-,Y (0.947),Non-effector
FOXG_09578 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=228,-,-,Y (0.636),Non-effector
FOXG_14121 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=249,-,Y (0.516),-,Apoplastic effector
FOXG_07845 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=237,Y (0.649),Y (0.546),-,Cytoplasmic/apoplastic effector
FOXG_05346 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=893,-,-,Y (0.928),Non-effector
FOXG_02567 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=96,-,Y (0.817),-,Apoplastic effector
FOXG_10957 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=602,-,-,Y (0.879),Non-effector
FOXG_16906 | Fusarium oxysporum f. sp. lycopersici 4287 | gluconolactonase | protein | length=400,-,Y (0.5),-,Apoplastic effector
FOXG_05788 | Fusarium oxysporum f. sp. lycopersici 4287 | gamma-glutamyltransferase | protein | length=580,-,-,Y (0.894),Non-effector
FOXG_20568 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=81,Y (0.831),Y (0.803),-,Cytoplasmic/apoplastic effector
FOXG_10144 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=161,-,Y (0.71),-,Apoplastic effector
FOXG_03994 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=408,-,-,Y (0.569),Non-effector
FOXG_08948 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=495,-,-,Y (0.731),Non-effector
FOXG_04132 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=209,Y (0.603),Y (0.664),-,Apoplastic/cytoplasmic effector
FOXG_11813 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=306,-,-,Y (0.866),Non-effector
FOXG_13370 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1025,-,-,Y (0.896),Non-effector
FOXG_18692 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=144,Y (0.657),-,-,Cytoplasmic effector
FOXG_14672 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=57,-,Y (0.719),-,Apoplastic effector
FOXG_04628 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=459,-,-,Y (0.881),Non-effector
FOXG_02888 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=129,Y (0.674),Y (0.989),-,Apoplastic/cytoplasmic effector
FOXG_21356 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=389,-,-,Y (0.758),Non-effector
FOXG_17226 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=717,-,-,Y (0.895),Non-effector
FOXG_05730 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=288,-,Y (0.541),-,Apoplastic effector
FOXG_12016 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=102,-,Y (0.738),-,Apoplastic effector
FOXG_22465 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=190,-,-,Y (0.515),Non-effector
FOXG_21690 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=580,-,-,Y (0.953),Non-effector
FOXG_08903 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=710,-,-,Y (0.807),Non-effector
FOXG_05331 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=448,-,-,Y (0.609),Non-effector
FOXG_05654 | Fusarium oxysporum f. sp. lycopersici 4287 | murein transglycosylase | protein | length=344,-,-,Y (0.79),Non-effector
FOXG_17613 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=613,-,-,Y (0.929),Non-effector
FOXG_03974 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=567,-,-,Y (0.571),Non-effector
FOXG_01797 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=320,-,-,Y (0.936),Non-effector
FOXG_12796 | Fusarium oxysporum f. sp. lycopersici 4287 | gamma-glutamyltransferase | protein | length=565,-,-,Y (0.914),Non-effector
FOXG_22352 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=181,-,-,Y (0.561),Non-effector
FOXG_04260 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=251,-,-,Y (0.675),Non-effector
FOXG_17701 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=485,-,-,Y (0.822),Non-effector
FOXG_10405 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=246,-,Y (0.536),-,Apoplastic effector
FOXG_09718 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=431,-,-,Y (0.787),Non-effector
FOXG_13004 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=260,-,-,Y (0.816),Non-effector
FOXG_09125 | Fusarium oxysporum f. sp. lycopersici 4287 | beta-glucosidase G | protein | length=811,-,-,Y (0.934),Non-effector
FOXG_05262 | Fusarium oxysporum f. sp. lycopersici 4287 | carboxypeptidase D | protein | length=618,-,-,Y (0.857),Non-effector
FOXG_14708 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=1239,-,-,Y (0.899),Non-effector
FOXG_09264 | Fusarium oxysporum f. sp. lycopersici 4287 | trehalase | protein | length=687,-,-,Y (0.858),Non-effector
FOXG_12215 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=389,-,-,Y (0.874),Non-effector
FOXG_06540 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=128,Y (0.951),Y (0.764),-,Cytoplasmic/apoplastic effector
FOXG_01352 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=258,-,-,Y (0.545),Non-effector
FOXG_11307 | Fusarium oxysporum f. sp. lycopersici 4287 | FK506-binding protein 2 | protein | length=195,Y (0.767),-,-,Cytoplasmic effector
FOXG_13164 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=598,-,-,Y (0.885),Non-effector
FOXG_10159 | Fusarium oxysporum f. sp. lycopersici 4287 | hypothetical protein | protein | length=802,-,-,Y (0.889),Non-effector
