"","query","target","alntmscore","lddt","fident","alnlen","mismatch","gapopen","qstart","qend","tstart","tend","evalue","bits","query_prediction","query_effector_type_score","target_prediction"
"189","FOXG_14098","FOXG_22193",0.4152,0.6007,0.208,24,16,1,5,28,153,173,7.139,5,"Cytoplasmic",0.873,"Cytoplasmic"
"190","FOXG_20259","FOXG_22737",0.4138,0.4936,0.266,30,20,1,2,29,8,37,3.987,9,"Apoplastic",0.593,"Non-effector"
"191","FOXG_06620","FOXG_12405",0.4127,0.4537,0.209,43,26,2,12,51,58,95,7.01,4,"Cytoplasmic",0.514,"Non-effector"
"192","FOXG_12405","FOXG_06620",0.4127,0.4743,0.209,43,26,2,58,95,12,51,4.206,9,"Non-effector",0.684,"Cytoplasmic"
"193","FOXG_10864","FOXG_16416",0.4121,0.2948,0.187,32,23,2,82,113,50,78,4.378,9,"Apoplastic",0.757,"Apoplastic"
"194","FOXG_16416","FOXG_10864",0.4121,0.3761,0.187,32,23,2,50,78,82,113,4.413,9,"Apoplastic",0.943,"Apoplastic"
"195","FOXG_03736","FOXG_16416",0.4119,0.2005,0.09,33,23,2,1166,1198,108,133,7.039,5,"Non-effector",0.961,"Apoplastic"
"196","FOXG_12450","FOXG_01683",0.4106,0.3594,0.178,28,20,1,89,113,87,114,9.961,3,"Apoplastic",0.629,"Non-effector"
"197","FOXG_07716","FOXG_20490",0.4098,0.5824,0.37,27,17,0,4,30,109,135,4.783,8,"Non-effector",0.839,"Non-effector"
"198","FOXG_20914","FOXG_01344",0.4058,0.2517,0.107,28,20,1,101,128,162,184,8.622,3,"Apoplastic/cytoplasmic",0.5915,"Non-effector"
"199","FOXG_12469","FOXG_17842",0.405,0.1693,0,27,23,2,180,202,107,133,6.418,4,"Apoplastic",0.58,"Non-effector"
"200","FOXG_14069","FOXG_17842",0.4048,0.1661,0.037,27,22,2,180,202,107,133,9.376,2,"Apoplastic",0.573,"Non-effector"
"201","FOXG_18382","FOXG_16416",0.4024,0.4903,0.153,39,29,2,19,56,110,145,2.283,15,"Cytoplasmic",0.594,"Apoplastic"
"202","FOXG_02842","FOXG_19858",0.4016,0.1611,0.363,11,7,0,112,122,96,106,9.211,2,"Apoplastic/cytoplasmic",0.636,"Non-effector"
"203","FOXG_21467","FOXG_22828",0.3989,0.6062,0.238,21,16,0,32,52,91,111,3.321,9,"Non-effector",0.756,"Non-effector"
"204","FOXG_15903","FOXG_07716",0.3974,0.6551,0.151,33,28,0,12,44,6,38,6.209,6,"Cytoplasmic",0.763,"Non-effector"
"205","FOXG_16398","FOXG_05795",0.3965,0.2473,0.212,33,21,4,76,104,100,131,3.555,9,"Non-effector",0.505,"Non-effector"
"206","FOXG_18382","FOXG_06911",0.3964,0.4331,0.045,22,20,1,16,36,518,539,3.715,10,"Cytoplasmic",0.594,"Non-effector"
"207","FOXG_07142","FOXG_12405",0.3963,0.2074,0.097,41,34,1,118,158,52,89,7.21,4,"Non-effector",0.577,"Non-effector"
"208","FOXG_15903","FOXG_06418",0.3963,0.6264,0.25,28,20,1,2,29,6,32,7.994,4,"Cytoplasmic",0.763,"Non-effector"
"209","FOXG_16416","FOXG_22777",0.3932,0.1989,0.15,40,31,3,116,154,49,86,5.578,5,"Apoplastic",0.943,"Apoplastic"
"210","FOXG_17259","FOXG_17980",0.3918,0.5817,0.173,52,38,3,91,139,1,50,4.448,10,"Cytoplasmic",0.739,"Apoplastic/cytoplasmic"
"211","FOXG_20259","FOXG_17980",0.3895,0.3941,0.129,54,39,3,5,58,5,50,9.297,3,"Apoplastic",0.593,"Apoplastic/cytoplasmic"
"212","FOXG_06418","FOXG_16398",0.3891,0.3425,0.137,29,23,1,222,248,1,29,6.304,6,"Non-effector",0.751,"Non-effector"
"213","FOXG_21467","FOXG_22737",0.3863,0.6886,0.214,42,32,1,11,52,6,46,7.547,5,"Non-effector",0.756,"Non-effector"
"214","FOXG_14231","FOXG_01357",0.3851,0.4298,0.173,23,19,0,148,170,65,87,9.711,4,"Cytoplasmic",0.77,"Non-effector"
"215","FOXG_20101","FOXG_22801",0.3834,0.3375,0.3,20,13,1,328,346,159,178,4.118,8,"Non-effector",0.769,"Non-effector"
"216","FOXG_06911","FOXG_16416",0.3823,0.2508,0.187,48,27,2,501,540,86,129,1.898,11,"Non-effector",0.73,"Apoplastic"
"217","FOXG_16416","FOXG_18382",0.3813,0.2291,0.166,42,31,2,107,145,16,56,2.31,10,"Apoplastic",0.943,"Cytoplasmic"
"218","FOXG_17980","FOXG_17259",0.3811,0.7037,0.18,50,37,2,2,49,45,92,3.025,10,"Apoplastic/cytoplasmic",0.5965,"Cytoplasmic"
"219","FOXG_07142","FOXG_17307",0.3809,0.7403,0.437,16,9,0,6,21,1,16,7.654,7,"Non-effector",0.577,"Apoplastic"
"220","FOXG_17307","FOXG_07142",0.3809,0.7893,0.437,16,9,0,1,16,6,21,7.832,7,"Apoplastic",0.931,"Non-effector"
"221","FOXG_19612","FOXG_06418",0.3807,0.7036,0.125,40,28,1,2,41,221,253,8.932,5,"Cytoplasmic",0.763,"Non-effector"
"222","FOXG_14069","FOXG_16416",0.3806,0.1307,0.238,21,13,2,177,194,106,126,1.383,8,"Apoplastic",0.573,"Apoplastic"
"223","FOXG_16416","FOXG_14069",0.3806,0.1302,0.238,21,13,2,106,126,177,194,1.825,8,"Apoplastic",0.943,"Apoplastic"
"224","FOXG_12469","FOXG_16416",0.3793,0.1313,0.238,21,13,2,177,194,106,126,1.373,8,"Apoplastic",0.58,"Apoplastic"
"225","FOXG_16416","FOXG_12469",0.3793,0.1294,0.238,21,13,2,106,126,177,194,1.721,8,"Apoplastic",0.943,"Apoplastic"
"226","FOXG_01357","FOXG_01344",0.3786,0.4077,0.23,39,28,2,57,94,152,189,7.916,3,"Non-effector",0.692,"Non-effector"
"227","FOXG_17259","FOXG_20259",0.3767,0.5665,0.218,55,33,2,48,92,4,58,6.183,7,"Cytoplasmic",0.739,"Apoplastic"
"228","FOXG_22779","FOXG_20862",0.3763,0.3863,0.109,64,47,5,23,77,251,313,2.929,10,"Apoplastic/cytoplasmic",0.9425,"Non-effector"
"229","FOXG_22828","FOXG_20490",0.3759,0.2844,0.205,34,26,1,27,59,8,41,5.604,5,"Non-effector",0.582,"Non-effector"
"230","FOXG_14231","FOXG_22779",0.3758,0.308,0.148,27,22,1,50,75,11,37,9.711,3,"Cytoplasmic",0.77,"Apoplastic/cytoplasmic"
"231","FOXG_12450","FOXG_14140",0.3745,0.7233,0.176,17,14,0,3,19,1,17,4.098,11,"Apoplastic",0.629,"Apoplastic/cytoplasmic"
"232","FOXG_14140","FOXG_12450",0.3745,0.7403,0.176,17,14,0,1,17,3,19,3.699,14,"Apoplastic/cytoplasmic",0.876,"Apoplastic"
"233","FOXG_17842","FOXG_13589",0.3743,0.2741,0.135,59,47,4,76,134,54,108,5.609,7,"Non-effector",0.637,"Non-effector"
"234","FOXG_16398","FOXG_18382",0.3739,0.3218,0.102,68,32,3,81,148,19,57,2.398,12,"Non-effector",0.505,"Cytoplasmic"
"235","FOXG_15903","FOXG_22737",0.3736,0.7019,0.218,32,25,0,13,44,6,37,3.724,9,"Cytoplasmic",0.763,"Non-effector"
"236","FOXG_22777","FOXG_22047",0.3729,0.5856,0.333,12,8,0,5,16,1,12,9.878,4,"Apoplastic",0.73,"Apoplastic"
"237","FOXG_12450","FOXG_22779",0.3726,0.6538,0.111,18,16,0,11,28,1,18,9.366,4,"Apoplastic",0.629,"Apoplastic/cytoplasmic"
"238","FOXG_22047","FOXG_22777",0.3718,0.7187,0.333,12,8,0,1,12,5,16,8.959,5,"Apoplastic",0.708,"Apoplastic"
"239","FOXG_14570","FOXG_14758",0.3713,0.3617,0.25,32,20,1,16,47,5,32,5.064,6,"Cytoplasmic",0.861,"Non-effector"
"240","FOXG_14758","FOXG_14570",0.3713,0.4386,0.25,32,20,1,5,32,16,47,6.725,7,"Non-effector",0.676,"Cytoplasmic"
"241","FOXG_20490","FOXG_17980",0.3704,0.3982,0.111,54,40,1,14,67,5,50,8.628,4,"Non-effector",0.754,"Apoplastic/cytoplasmic"
"242","FOXG_18382","FOXG_16398",0.3682,0.4167,0.129,54,32,2,19,57,81,134,2.021,14,"Cytoplasmic",0.594,"Non-effector"
"243","FOXG_04559","FOXG_22047",0.3677,0.2495,0.072,55,33,4,11,63,36,74,9.026,3,"Non-effector",0.728,"Apoplastic"
"244","FOXG_20259","FOXG_17259",0.3651,0.4169,0.24,54,31,2,5,58,49,92,2.596,10,"Apoplastic",0.593,"Cytoplasmic"
"245","FOXG_22777","FOXG_18382",0.365,0.4507,0.078,38,31,2,47,81,23,59,2.381,12,"Apoplastic",0.73,"Cytoplasmic"
"246","FOXG_20490","FOXG_15903",0.3646,0.504,0.212,33,26,0,105,137,3,35,9.784,3,"Non-effector",0.754,"Cytoplasmic"
"247","FOXG_20101","FOXG_22777",0.3603,0.2979,0.13,23,18,2,326,348,40,60,8.803,3,"Non-effector",0.769,"Apoplastic"
"248","FOXG_15934","FOXG_22193",0.3601,0.6021,0.135,59,34,2,65,106,114,172,9.476,3,"Non-effector",0.809,"Cytoplasmic"
"249","FOXG_15903","FOXG_20490",0.3599,0.6197,0.205,34,27,0,3,36,105,138,6.209,5,"Cytoplasmic",0.763,"Non-effector"
"250","FOXG_22828","FOXG_21467",0.3591,0.4753,0.2,25,20,0,88,112,29,53,2.576,12,"Non-effector",0.582,"Non-effector"
"251","FOXG_21426","FOXG_20862",0.3582,0.7273,0.299,227,141,5,1,227,1,209,1.97e-10,206,"Non-effector",0.835,"Non-effector"
"252","FOXG_15934","FOXG_22047",0.3578,0.6395,0.153,13,11,0,61,73,1,13,6.096,6,"Non-effector",0.809,"Apoplastic"
"253","FOXG_20101","FOXG_14140",0.3577,0.2361,0.173,23,17,1,332,352,31,53,4.118,7,"Non-effector",0.769,"Apoplastic/cytoplasmic"
"254","FOXG_17980","FOXG_17307",0.3564,0.5758,0.166,18,15,0,25,42,1,18,6.915,4,"Apoplastic/cytoplasmic",0.5965,"Apoplastic"
"255","FOXG_20862","FOXG_22777",0.3563,0.1979,0.071,14,13,0,253,266,48,61,7.516,3,"Non-effector",0.633,"Apoplastic"
"256","FOXG_22828","FOXG_17980",0.3562,0.467,0.296,27,17,1,88,112,16,42,6.373,6,"Non-effector",0.582,"Apoplastic/cytoplasmic"
"257","FOXG_13589","FOXG_22047",0.3536,0.3804,0.152,85,58,4,1,80,1,76,2.284,12,"Non-effector",0.535,"Apoplastic"
"258","FOXG_15934","FOXG_14570",0.3535,0.5612,0.145,62,33,2,3,49,6,62,7.614,4,"Non-effector",0.809,"Cytoplasmic"
"259","FOXG_20862","FOXG_21426",0.3529,0.7412,0.305,226,139,5,1,208,1,226,1.315e-09,191,"Non-effector",0.633,"Non-effector"
"260","FOXG_06911","FOXG_20862",0.3503,0.6907,0.243,205,142,9,1,198,1,199,2.7e-05,108,"Non-effector",0.73,"Non-effector"
"261","FOXG_17842","FOXG_22737",0.35,0.3197,0.153,26,21,1,1,25,245,270,9.724,4,"Non-effector",0.637,"Non-effector"
"262","FOXG_22737","FOXG_17842",0.35,0.1609,0.153,26,21,1,245,270,1,25,5.617,6,"Non-effector",0.987,"Non-effector"
"263","FOXG_22058","FOXG_20490",0.3486,0.4687,0.5,20,8,1,4,21,112,131,9.558,4,"Apoplastic",0.639,"Non-effector"
"264","FOXG_20862","FOXG_22779",0.3485,0.2973,0.109,64,47,5,251,313,23,77,2.318,10,"Non-effector",0.633,"Apoplastic/cytoplasmic"
"265","FOXG_06620","FOXG_22047",0.3459,0.4213,0.125,16,14,0,13,28,1,16,9.641,2,"Cytoplasmic",0.514,"Apoplastic"
"266","FOXG_20862","FOXG_06911",0.3459,0.6896,0.243,197,136,10,12,202,12,201,0.0002041,89,"Non-effector",0.633,"Non-effector"
"267","FOXG_18382","FOXG_03043",0.3454,0.4597,0.087,57,47,1,14,65,170,226,1.099,18,"Cytoplasmic",0.594,"Non-effector"
"268","FOXG_07716","FOXG_15903",0.344,0.6113,0.21,38,27,1,4,38,7,44,9.393,3,"Non-effector",0.839,"Cytoplasmic"
"269","FOXG_01357","FOXG_01683",0.3439,0.3914,0.172,29,22,2,76,104,93,119,5.373,5,"Non-effector",0.692,"Non-effector"
"270","FOXG_01683","FOXG_01357",0.3439,0.3121,0.172,29,22,2,93,119,76,104,6.674,5,"Non-effector",0.636,"Non-effector"
"271","FOXG_20259","FOXG_03736",0.3439,0.3825,0.175,40,33,0,56,95,369,408,7.549,4,"Apoplastic",0.593,"Non-effector"
"272","FOXG_20490","FOXG_01357",0.3433,0.5027,0.184,92,68,2,73,163,1,86,8.628,4,"Non-effector",0.754,"Non-effector"
"273","FOXG_20862","FOXG_13589",0.3429,0.2975,0.111,72,59,4,198,267,11,79,7.987,4,"Non-effector",0.633,"Non-effector"
"274","FOXG_07142","FOXG_15934",0.3426,0.2207,0.129,54,44,1,111,161,44,97,8.621,3,"Non-effector",0.577,"Non-effector"
"275","FOXG_06620","FOXG_16398",0.3421,0.3434,0.205,34,19,2,1,26,1,34,7.01,3,"Cytoplasmic",0.514,"Non-effector"
"276","FOXG_05604","FOXG_06418",0.3418,0.234,0.173,23,18,1,28,50,45,66,8.758,3,"Non-effector",0.863,"Non-effector"
"277","FOXG_06418","FOXG_05604",0.3418,0.2222,0.173,23,18,1,45,66,28,50,5.577,5,"Non-effector",0.751,"Non-effector"
"278","FOXG_20259","FOXG_22047",0.341,0.5687,0.357,14,9,0,82,95,2,15,9.297,3,"Apoplastic",0.593,"Apoplastic"
"279","FOXG_22864","FOXG_14231",0.3396,0.4768,0.258,31,23,0,3,33,11,41,9.109,4,"Non-effector",0.541,"Cytoplasmic"
"280","FOXG_14069","FOXG_17307",0.3384,0.3553,0.073,41,37,1,109,148,1,41,8.283,4,"Apoplastic",0.573,"Apoplastic"
"281","FOXG_17307","FOXG_14069",0.3384,0.4369,0.073,41,37,1,1,41,109,148,8.299,4,"Apoplastic",0.931,"Apoplastic"
"282","FOXG_22779","FOXG_22828",0.3374,0.2191,0.176,34,23,1,28,61,13,41,5.974,4,"Apoplastic/cytoplasmic",0.9425,"Non-effector"
"283","FOXG_01683","FOXG_22777",0.3355,0.2648,0.155,45,35,2,46,90,41,82,4.612,6,"Non-effector",0.636,"Apoplastic"
"284","FOXG_16416","FOXG_15934",0.3347,0.2977,0.148,27,23,0,41,67,41,67,7.46,4,"Apoplastic",0.943,"Non-effector"
"285","FOXG_22801","FOXG_22058",0.3347,0.3761,0.157,70,44,2,85,139,119,188,3.505,11,"Non-effector",0.709,"Apoplastic"
"286","FOXG_01683","FOXG_17259",0.3333,0.2873,0.192,57,37,3,74,123,70,124,4.612,6,"Non-effector",0.636,"Cytoplasmic"
"287","FOXG_20101","FOXG_16416",0.3321,0.3095,0.071,28,23,1,325,349,102,129,8.312,4,"Non-effector",0.769,"Apoplastic"
"288","FOXG_16416","FOXG_17842",0.332,0.2285,0.105,57,37,3,169,225,90,132,4.413,6,"Apoplastic",0.943,"Non-effector"
"289","FOXG_17842","FOXG_16416",0.332,0.398,0.105,57,37,3,90,132,169,225,5.609,8,"Non-effector",0.637,"Apoplastic"
"290","FOXG_22509","FOXG_21467",0.3316,0.6881,0.357,14,9,0,2,15,38,51,9.323,5,"Non-effector",0.623,"Non-effector"
"291","FOXG_06911","FOXG_14140",0.3312,0.2589,0.138,36,30,1,509,543,16,51,6.798,4,"Non-effector",0.73,"Apoplastic/cytoplasmic"
"292","FOXG_14140","FOXG_14758",0.3311,0.2968,0.083,72,49,5,20,76,42,111,2.311,10,"Apoplastic/cytoplasmic",0.876,"Non-effector"
"293","FOXG_22047","FOXG_04559",0.3308,0.2634,0.061,65,43,4,26,74,1,63,9.516,2,"Apoplastic",0.708,"Non-effector"
"294","FOXG_19858","FOXG_21426",0.3284,0.2993,0.243,37,25,2,96,131,213,247,9.204,3,"Non-effector",0.832,"Non-effector"
"295","FOXG_21467","FOXG_01683",0.3267,0.57,0.181,11,9,0,38,48,16,26,9.596,3,"Non-effector",0.756,"Non-effector"
"296","FOXG_06620","FOXG_06418",0.326,0.3502,0.2,25,20,0,5,29,231,255,5.067,5,"Cytoplasmic",0.514,"Non-effector"
"297","FOXG_22864","FOXG_22801",0.3259,0.317,0.136,66,40,3,38,102,89,138,6.552,5,"Non-effector",0.541,"Non-effector"
"298","FOXG_17307","FOXG_22779",0.3229,0.1455,0.4,25,13,2,49,73,20,42,5.19,4,"Apoplastic",0.931,"Apoplastic/cytoplasmic"
"299","FOXG_22779","FOXG_17307",0.3229,0.2064,0.4,25,13,2,20,42,49,73,8.759,2,"Apoplastic/cytoplasmic",0.9425,"Apoplastic"
"300","FOXG_22777","FOXG_19858",0.322,0.3939,0.357,14,8,1,9,22,102,114,8.179,4,"Apoplastic",0.73,"Non-effector"
"301","FOXG_06418","FOXG_22058",0.3199,0.4469,0.125,40,32,2,197,236,145,181,8.537,4,"Non-effector",0.751,"Apoplastic"
"302","FOXG_13589","FOXG_17307",0.3196,0.2819,0.105,19,17,0,74,92,209,227,9.526,3,"Non-effector",0.535,"Apoplastic"
"303","FOXG_18382","FOXG_22777",0.3177,0.4791,0.106,47,34,3,14,59,42,81,1.319,16,"Cytoplasmic",0.594,"Apoplastic"
"304","FOXG_21426","FOXG_22828",0.3175,0.3659,0.111,99,55,7,28,112,25,104,4.561,7,"Non-effector",0.835,"Non-effector"
"305","FOXG_20862","FOXG_22737",0.3173,0.2659,0.108,74,48,3,223,296,433,488,5.197,5,"Non-effector",0.633,"Non-effector"
"306","FOXG_02842","FOXG_12405",0.317,0.7791,0.166,24,20,0,3,26,43,66,9.211,5,"Apoplastic/cytoplasmic",0.636,"Non-effector"
"307","FOXG_12405","FOXG_02842",0.317,0.4511,0.166,24,20,0,43,66,3,26,8.895,3,"Non-effector",0.684,"Apoplastic/cytoplasmic"
"308","FOXG_03043","FOXG_17980",0.3165,0.4863,0.166,60,35,3,218,272,1,50,8.901,4,"Non-effector",0.84,"Apoplastic/cytoplasmic"
"309","FOXG_22193","FOXG_03043",0.3157,0.5203,0.058,120,90,5,57,173,172,271,3.881,10,"Cytoplasmic",0.766,"Non-effector"
"310","FOXG_06620","FOXG_22864",0.315,0.3508,0.12,25,22,0,4,28,3,27,8.231,2,"Cytoplasmic",0.514,"Non-effector"
"311","FOXG_22864","FOXG_06620",0.315,0.5402,0.12,25,22,0,3,27,4,28,8.628,5,"Non-effector",0.541,"Cytoplasmic"
"312","FOXG_05604","FOXG_07142",0.3149,0.4401,0.125,56,42,3,1,53,3,54,8.758,5,"Non-effector",0.863,"Non-effector"
"313","FOXG_22193","FOXG_02842",0.3139,0.4085,0.201,109,64,6,17,117,28,121,0.01094,44,"Cytoplasmic",0.766,"Apoplastic/cytoplasmic"
"314","FOXG_07716","FOXG_17980",0.3129,0.544,0.18,50,31,4,1,40,1,50,2.807,9,"Non-effector",0.839,"Apoplastic/cytoplasmic"
"315","FOXG_17980","FOXG_07716",0.3129,0.5803,0.18,50,31,4,1,50,1,40,1.837,11,"Apoplastic/cytoplasmic",0.5965,"Non-effector"
"316","FOXG_01683","FOXG_12450",0.3124,0.3354,0.204,44,31,2,87,129,89,129,3.384,8,"Non-effector",0.636,"Apoplastic"
"317","FOXG_18382","FOXG_07142",0.3123,0.3628,0.08,25,21,2,17,40,72,95,4.458,7,"Cytoplasmic",0.594,"Non-effector"
"318","FOXG_22058","FOXG_22801",0.3119,0.418,0.164,67,41,2,119,185,85,136,3.474,10,"Apoplastic",0.639,"Non-effector"
"319","FOXG_15934","FOXG_05795",0.3113,0.6392,0.153,13,11,0,61,73,1,13,7.614,4,"Non-effector",0.809,"Non-effector"
"320","FOXG_22801","FOXG_12450",0.311,0.2908,0.131,38,30,1,112,146,92,129,8.554,4,"Non-effector",0.709,"Apoplastic"
"321","FOXG_06620","FOXG_16416",0.3103,0.3831,0.148,27,21,1,5,29,41,67,7.598,3,"Cytoplasmic",0.514,"Apoplastic"
"322","FOXG_06911","FOXG_18382",0.3091,0.2231,0.047,42,33,2,498,539,2,36,1.898,9,"Non-effector",0.73,"Cytoplasmic"
"323","FOXG_03043","FOXG_17307",0.3087,0.6044,0,18,18,0,179,196,209,226,8.901,4,"Non-effector",0.84,"Apoplastic"
"324","FOXG_21467","FOXG_03736",0.3076,0.6269,0.294,17,12,0,38,54,1044,1060,6.959,4,"Non-effector",0.756,"Non-effector"
"325","FOXG_06418","FOXG_07142",0.3074,0.297,0.166,72,48,5,30,98,154,216,9.616,3,"Non-effector",0.751,"Non-effector"
"326","FOXG_06620","FOXG_20914",0.3068,0.4403,0.157,19,16,0,15,33,86,104,6.466,4,"Cytoplasmic",0.514,"Apoplastic/cytoplasmic"
"327","FOXG_19612","FOXG_17980",0.3048,0.6892,0.14,50,31,2,3,41,2,50,6.416,6,"Cytoplasmic",0.763,"Apoplastic/cytoplasmic"
"328","FOXG_22737","FOXG_17259",0.3047,0.3993,0.137,58,41,2,11,59,48,105,9.982,4,"Non-effector",0.987,"Cytoplasmic"
"329","FOXG_14098","FOXG_20914",0.3046,0.6649,0.142,14,12,0,27,40,5,18,8.257,4,"Cytoplasmic",0.873,"Apoplastic/cytoplasmic"
"330","FOXG_06620","FOXG_14231",0.3039,0.38,0.172,29,22,2,1,28,160,187,8.911,2,"Cytoplasmic",0.514,"Cytoplasmic"
"331","FOXG_20862","FOXG_14231",0.3039,0.2041,0.137,29,22,1,250,275,61,89,5.197,4,"Non-effector",0.633,"Cytoplasmic"
"332","FOXG_02842","FOXG_17307",0.3032,0.3478,0.277,36,18,3,29,64,6,33,5.738,6,"Apoplastic/cytoplasmic",0.636,"Apoplastic"
"333","FOXG_03736","FOXG_18382",0.3011,0.2014,0,26,23,1,534,559,18,40,7.413,4,"Non-effector",0.961,"Cytoplasmic"
"334","FOXG_17307","FOXG_17842",0.3011,0.1858,0.075,40,30,4,190,226,93,128,6.571,4,"Apoplastic",0.931,"Non-effector"
"335","FOXG_17842","FOXG_17307",0.3011,0.3185,0.075,40,30,4,93,128,190,226,6.529,6,"Non-effector",0.637,"Apoplastic"
"336","FOXG_20862","FOXG_22509",0.3011,0.4271,0.322,31,16,2,1,30,1,27,5.881,6,"Non-effector",0.633,"Non-effector"
"337","FOXG_22509","FOXG_20862",0.3011,0.42,0.322,31,16,2,1,27,1,30,6.213,6,"Non-effector",0.623,"Non-effector"
"338","FOXG_16416","FOXG_06620",0.301,0.3224,0.142,28,22,1,41,68,5,30,5.914,5,"Apoplastic",0.943,"Cytoplasmic"
"339","FOXG_14098","FOXG_02842",0.3003,0.7557,0.25,32,24,0,24,55,8,39,6.165,6,"Cytoplasmic",0.873,"Apoplastic/cytoplasmic"
"340","FOXG_02842","FOXG_14140",0.3001,0.2474,0.075,40,29,3,92,130,28,60,2.188,9,"Apoplastic/cytoplasmic",0.636,"Apoplastic/cytoplasmic"
"341","FOXG_15934","FOXG_02842",0.2981,0.6169,0.259,27,20,0,50,76,8,34,7.072,5,"Non-effector",0.809,"Apoplastic/cytoplasmic"
"342","FOXG_01683","FOXG_18382",0.2977,0.2453,0.133,45,29,4,47,81,13,57,5.903,4,"Non-effector",0.636,"Cytoplasmic"
"343","FOXG_06911","FOXG_22737",0.2975,0.2168,0.088,45,38,1,497,538,210,254,5.026,5,"Non-effector",0.73,"Non-effector"
"344","FOXG_12450","FOXG_07142",0.2969,0.6136,0.232,43,26,2,1,43,1,36,2.61,12,"Apoplastic",0.629,"Non-effector"
"345","FOXG_03736","FOXG_01683",0.2954,0.2024,0.093,32,25,1,615,642,62,93,9.57,2,"Non-effector",0.961,"Non-effector"
"346","FOXG_22047","FOXG_03736",0.2952,0.5186,0.078,38,29,2,1,32,1045,1082,9.516,3,"Apoplastic",0.708,"Non-effector"
"347","FOXG_13589","FOXG_14140",0.2942,0.6431,0.3,20,14,0,1,20,1,20,6.604,6,"Non-effector",0.535,"Apoplastic/cytoplasmic"
"348","FOXG_18382","FOXG_22737",0.2942,0.3323,0.3,20,14,0,19,38,250,269,5.033,6,"Cytoplasmic",0.594,"Non-effector"
"349","FOXG_01683","FOXG_22779",0.2941,0.1909,0.125,40,29,4,31,67,2,38,1.819,8,"Non-effector",0.636,"Apoplastic/cytoplasmic"
"350","FOXG_14098","FOXG_22864",0.2938,0.7074,0.192,57,45,1,11,67,104,159,1.881,13,"Cytoplasmic",0.873,"Non-effector"
"351","FOXG_11116","FOXG_17842",0.2932,0.2537,0.138,36,18,1,405,427,121,156,7.068,4,"Non-effector",0.744,"Non-effector"
"352","FOXG_07716","FOXG_17259",0.2924,0.6428,0.16,50,38,1,5,54,48,93,8.105,4,"Non-effector",0.839,"Cytoplasmic"
"353","FOXG_05795","FOXG_18382",0.2922,0.1515,0.133,45,23,4,104,138,19,57,7.712,3,"Non-effector",0.802,"Cytoplasmic"
"354","FOXG_18382","FOXG_05795",0.2922,0.3311,0.133,45,23,4,19,57,104,138,6.806,4,"Cytoplasmic",0.594,"Non-effector"
"355","FOXG_20101","FOXG_22047",0.2918,0.3574,0.2,20,16,0,331,350,56,75,2.566,10,"Non-effector",0.769,"Apoplastic"
"356","FOXG_16398","FOXG_22737",0.2913,0.2231,0.107,28,24,1,72,99,242,268,6.223,4,"Non-effector",0.505,"Non-effector"
"357","FOXG_22737","FOXG_16398",0.2913,0.1473,0.107,28,24,1,242,268,72,99,9.561,2,"Non-effector",0.987,"Non-effector"
"358","FOXG_20259","FOXG_14140",0.2893,0.348,0.189,37,25,2,42,74,8,43,8.677,3,"Apoplastic",0.593,"Apoplastic/cytoplasmic"
"359","FOXG_07142","FOXG_16416",0.2891,0.1844,0.195,41,26,4,69,105,172,209,2.566,7,"Non-effector",0.577,"Apoplastic"
"360","FOXG_20914","FOXG_20490",0.2886,0.3072,0.17,41,26,2,75,108,43,82,9.19,2,"Apoplastic/cytoplasmic",0.5915,"Non-effector"
"361","FOXG_06620","FOXG_12450",0.2885,0.5046,0.081,49,38,2,12,57,75,119,9.641,2,"Cytoplasmic",0.514,"Apoplastic"
"362","FOXG_01357","FOXG_17980",0.2884,0.4115,0.162,43,26,1,63,105,4,36,7.331,3,"Non-effector",0.692,"Apoplastic/cytoplasmic"
"363","FOXG_15934","FOXG_03043",0.2878,0.6075,0.137,80,60,3,1,73,1,78,5.25,6,"Non-effector",0.809,"Non-effector"
"364","FOXG_22047","FOXG_13589",0.2875,0.3433,0.116,129,73,6,1,120,1,97,0.3908,19,"Apoplastic",0.708,"Non-effector"
"365","FOXG_06418","FOXG_20259",0.2873,0.3455,0.131,38,19,1,204,241,4,27,9.062,3,"Non-effector",0.751,"Apoplastic"
"366","FOXG_17307","FOXG_01683",0.287,0.2047,0.176,51,31,4,186,230,44,89,1.677,9,"Apoplastic",0.931,"Non-effector"
"367","FOXG_06620","FOXG_06911",0.2867,0.4034,0.21,19,15,0,14,32,459,477,8.231,3,"Cytoplasmic",0.514,"Non-effector"
"368","FOXG_22193","FOXG_03736",0.2866,0.2007,0.155,45,33,3,79,118,819,863,7.854,3,"Cytoplasmic",0.766,"Non-effector"
"369","FOXG_05795","FOXG_12450",0.2865,0.606,0.409,22,12,1,1,22,1,21,4.459,11,"Non-effector",0.802,"Apoplastic"
"370","FOXG_12450","FOXG_05795",0.2865,0.7014,0.409,22,12,1,1,21,1,22,5.299,8,"Apoplastic",0.629,"Non-effector"
"371","FOXG_04559","FOXG_06418",0.2864,0.2908,0.122,49,36,1,3,51,215,256,6.264,4,"Non-effector",0.728,"Non-effector"
"372","FOXG_17259","FOXG_22737",0.286,0.6226,0.126,63,46,2,48,110,11,64,9.124,4,"Cytoplasmic",0.739,"Non-effector"
